,index,X,Y,Spatial Step,Event,Time Start,Time Span,Accuracy
0,0,1,1,3,SR,-0.8,0.1,0.8
1,1,1,2,3,SR,-0.8,0.1,0.8
2,2,1,3,3,SR,-0.8,0.1,0.7
3,3,1,4,3,SR,-0.8,0.1,0.5333333333333333
4,4,1,5,3,SR,-0.8,0.1,0.6333333333333333
5,5,1,6,3,SR,-0.8,0.1,0.6666666666666666
6,6,1,7,3,SR,-0.8,0.1,0.7
7,7,1,8,3,SR,-0.8,0.1,0.7
8,8,2,1,3,SR,-0.8,0.1,0.7333333333333333
9,9,2,2,3,SR,-0.8,0.1,0.7333333333333333
10,10,2,3,3,SR,-0.8,0.1,0.6333333333333333
11,11,2,4,3,SR,-0.8,0.1,0.6666666666666666
12,12,2,5,3,SR,-0.8,0.1,0.7333333333333333
13,13,2,6,3,SR,-0.8,0.1,0.6666666666666666
14,14,2,7,3,SR,-0.8,0.1,0.6333333333333333
15,15,2,8,3,SR,-0.8,0.1,0.5666666666666667
16,16,3,1,3,SR,-0.8,0.1,0.5666666666666667
17,17,3,2,3,SR,-0.8,0.1,0.5333333333333333
18,18,3,3,3,SR,-0.8,0.1,0.6
19,19,3,4,3,SR,-0.8,0.1,0.6
20,20,3,5,3,SR,-0.8,0.1,0.5666666666666667
21,21,3,6,3,SR,-0.8,0.1,0.6666666666666666
22,22,3,7,3,SR,-0.8,0.1,0.6333333333333333
23,23,3,8,3,SR,-0.8,0.1,0.5333333333333333
24,24,4,1,3,SR,-0.8,0.1,0.4
25,25,4,2,3,SR,-0.8,0.1,0.43333333333333335
26,26,4,3,3,SR,-0.8,0.1,0.5
27,27,4,4,3,SR,-0.8,0.1,0.5666666666666667
28,28,4,5,3,SR,-0.8,0.1,0.5666666666666667
29,29,4,6,3,SR,-0.8,0.1,0.6666666666666666
30,30,4,7,3,SR,-0.8,0.1,0.6
31,31,4,8,3,SR,-0.8,0.1,0.6666666666666666
32,32,5,1,3,SR,-0.8,0.1,0.36666666666666664
33,33,5,2,3,SR,-0.8,0.1,0.5333333333333333
34,34,5,3,3,SR,-0.8,0.1,0.5
35,35,5,4,3,SR,-0.8,0.1,0.5333333333333333
36,36,5,5,3,SR,-0.8,0.1,0.6
37,37,5,6,3,SR,-0.8,0.1,0.6333333333333333
38,38,5,7,3,SR,-0.8,0.1,0.7
39,39,5,8,3,SR,-0.8,0.1,0.7333333333333333
40,40,6,1,3,SR,-0.8,0.1,0.5666666666666667
41,41,6,2,3,SR,-0.8,0.1,0.43333333333333335
42,42,6,3,3,SR,-0.8,0.1,0.5666666666666667
43,43,6,4,3,SR,-0.8,0.1,0.5666666666666667
44,44,6,5,3,SR,-0.8,0.1,0.7333333333333333
45,45,6,6,3,SR,-0.8,0.1,0.7333333333333333
46,46,6,7,3,SR,-0.8,0.1,0.7333333333333333
47,47,6,8,3,SR,-0.8,0.1,0.6666666666666666
48,48,7,1,3,SR,-0.8,0.1,0.5
49,49,7,2,3,SR,-0.8,0.1,0.5
50,50,7,3,3,SR,-0.8,0.1,0.43333333333333335
51,51,7,4,3,SR,-0.8,0.1,0.5
52,52,7,5,3,SR,-0.8,0.1,0.7
53,53,7,6,3,SR,-0.8,0.1,0.7
54,54,7,7,3,SR,-0.8,0.1,0.7
55,55,7,8,3,SR,-0.8,0.1,0.5666666666666667
56,56,8,1,3,SR,-0.8,0.1,0.5333333333333333
